,Total greenhouse gas emissions,,Carbon dioxide emissions,,Methane emissions,,Nitrous oxide emissions,
,,,Total,,,,,
,thousand metric tons of carbon dioxide equivalent,,thousand metric tons,,thousand metric tons of carbon dioxide equivalent,,thousand metric tons of carbon dioxide equivalent,
,Total greenhouse gas emissions 2015,Total greenhouse gas emissions 2020,Carbon dioxide emissions 2015,Carbon dioxide emissions 2020,Methane emissions 2015,Methane emissions 2020,Nitrous oxide emissions 2015,Nitrous oxide emissions 2020
Upper middle income,20462177.564023,21786984.13134,15348154.712,16383995.507,3574605.775317,3706695.665362,1131406.159148,1188291.844572
High income,15347386.288731,13880327.541665,12370867.601794,10864997.070492,1772064.855121,1789814.683224,719320.698624,690685.507403
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,
,,,,,,,,
3.9 Trends in greenhouse gas emissions,,,,,,,,
"World Development Indicators , THE WORLD BANKLast updated date 03/28/2024",,,,,,,,
,,,,,,,,
About the Data,,,,,,,,
,,,,,,,,
Total greenhouse gas emissions (kt of CO2 equivalent),,,,,,,,
,,,,,,,,
Long definition,,,,,,,,
,,,,,,,,
"Total greenhouse gas emissions in kt of CO2 equivalent are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and savanna burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6).",,,,,,,,
,,,,,,,,
Source,,,,,,,,
,,,,,,,,
"Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at:?https://www.climatewatchdata.org/ghg-emissions",,,,,,,,
,,,,,,,,
CO2 emissions (kt),,,,,,,,
,,,,,,,,
Long definition,,,,,,,,
,,,,,,,,
"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",,,,,,,,
,,,,,,,,
Source,,,,,,,,
,,,,,,,,
"Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at:?https://www.climatewatchdata.org/ghg-emissions",,,,,,,,
,,,,,,,,
Methane emissions (kt of CO2 equivalent),,,,,,,,
,,,,,,,,
Long definition,,,,,,,,
,,,,,,,,
Methane emissions are those stemming from human activities such as agriculture and from industrial methane production.,,,,,,,,
,,,,,,,,
Source,,,,,,,,
,,,,,,,,
"Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at:?https://www.climatewatchdata.org/ghg-emissions",,,,,,,,
,,,,,,,,
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,,,,,,
,,,,,,,,
Long definition,,,,,,,,
,,,,,,,,
"Nitrous oxide emissions are emissions from agricultural biomass burning, industrial activities, and livestock management.",,,,,,,,
,,,,,,,,
Source,,,,,,,,
,,,,,,,,
"Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at:?https://www.climatewatchdata.org/ghg-emissions",,,,,,,,
,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/3.9 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,
